country,date,gdp,population,inflation,poverty,unemployment,life_expectancy,literacy,gdp_per_capita,population_millions,gdp_billions,high_unemployment,high_inflation,development_score
Tanzania,1970-01-01 00:00:00.000001998,12172790056.3733,32420458.0,12.7997540479609,65.02000000000001,3.283,51.807,74.98157757322318,375.4663199506096,32.420458,12.1727900563733,False,True,7.883511567429488
Tanzania,1970-01-01 00:00:00.000001999,12704334195.8151,33300330.0,7.89043336058877,65.02000000000001,3.219,52.399,74.98157757322318,381.507756704366,33.30033,12.7043341958151,False,False,11.46598331694501
Tanzania,1970-01-01 00:00:00.000002000,13371767081.7428,34260139.0,5.92396109637479,86.9,3.129,53.244,74.98157757322318,390.30101663460266,34.260139,13.3717670817428,False,False,14.163937766679503
Tanzania,1970-01-01 00:00:00.000002001,13563990022.3641,35198299.0,5.14746800222618,65.02000000000001,2.994,54.124,74.98157757322318,385.3592476830798,35.198299,13.5639900223641,False,False,15.857776206689127
Tanzania,1970-01-01 00:00:00.000002002,14129651895.6911,36121304.0,5.31783366118203,65.02000000000001,3.023,54.94,69.4300003051758,391.17225379491003,36.121304,14.129651895691099,False,False,14.910979568384123
Tanzania,1970-01-01 00:00:00.000002003,15211487708.7684,37089555.0,5.30356621509782,65.02000000000001,3.053,55.929,74.98157757322318,410.1286119169777,37.089555,15.2114877087684,False,False,15.66559448026713
Tanzania,1970-01-01 00:00:00.000002004,16673062473.3981,38109668.0,4.73580143949058,65.02000000000001,3.105,56.836,74.98157757322318,437.50217066698406,38.109668,16.6730624733981,False,False,16.811747955931835
Tanzania,1970-01-01 00:00:00.000002005,18395383647.4975,39182076.0,5.03457009267163,65.02000000000001,3.193,57.675,74.98157757322318,469.4846604732608,39.182076,18.3953836474975,False,False,16.123421141240904
Tanzania,1970-01-01 00:00:00.000002006,18619859795.2852,40294902.0,7.25097262082546,65.02000000000001,3.299,58.512,74.98157757322318,462.08971535121736,40.294902,18.619859795285198,False,False,12.653452513204556
Tanzania,1970-01-01 00:00:00.000002007,21860434823.4808,41435512.0,7.02551436974771,61.9,3.023,59.26,74.98157757322318,527.5772825850638,41.435512,21.8604348234808,False,False,13.3593457334722
Tanzania,1970-01-01 00:00:00.000002008,27947821397.9272,42570728.0,10.2783937621135,65.02000000000001,2.775,59.896,74.98157757322318,656.503252608863,42.570728,27.9478213979272,False,False,10.332759436453625
Tanzania,1970-01-01 00:00:00.000002009,29400573553.6075,43633982.0,12.1422278742988,65.02000000000001,2.5,60.494,74.98157757322318,673.7999193749381,43.633982,29.400573553607497,False,True,9.252388279724881
Tanzania,1970-01-01 00:00:00.000002010,32012892919.37,44758488.0,6.20015595647403,65.02000000000001,3.03,61.127,74.98157757322318,715.236245678585,44.758488,32.012892919369996,False,False,14.74607560425419
Tanzania,1970-01-01 00:00:00.000002011,34657140096.4836,46029367.0,12.6909694699162,51.5,3.47,61.618,74.98157757322318,752.93540527037,46.029367,34.657140096483595,False,True,8.452437078574066
Tanzania,1970-01-01 00:00:00.000002012,39650394362.9287,47374260.0,16.0010938506338,65.02000000000001,3.223,62.286,78.0999984741211,836.9607116381069,47.37426,39.6503943629287,False,True,7.302606799825455
Tanzania,1970-01-01 00:00:00.000002013,45648857242.315,48824128.0,7.87072364573959,65.02000000000001,2.93,62.788,74.98157757322318,934.9651312219033,48.824128,45.648857242315,False,False,12.755587689494046
Tanzania,1970-01-01 00:00:00.000002014,49986726460.6805,50351512.0,6.13161432988012,65.02000000000001,2.125,63.364,79.8949432291161,992.7552217434999,50.351512,49.986726460680494,False,False,17.350809606144715
Tanzania,1970-01-01 00:00:00.000002015,47413919817.124,52020962.0,5.58816952959298,65.02000000000001,2.009,63.928,77.8899993896484,911.4387353529526,52.020962,47.413919817124004,False,False,18.667215314497042
Tanzania,1970-01-01 00:00:00.000002016,49774409374.4538,53824013.0,5.17476629301493,65.02000000000001,1.931,64.404,74.98157757322318,924.7621386843414,53.824013,49.774409374453796,False,False,19.615840407000327
Tanzania,1970-01-01 00:00:00.000002017,53274884532.7886,55652890.0,5.31871605228931,65.02000000000001,1.854,64.963,74.98157757322318,957.2707640661356,55.65289,53.2748845327886,False,False,19.51068138666345
Tanzania,1970-01-01 00:00:00.000002018,57003712892.0858,57437145.0,3.49445848856181,51.3,1.792,65.488,74.98157757322318,992.4538013176979,57.437145,57.0037128920858,False,False,26.571584337066867
Tanzania,1970-01-01 00:00:00.000002019,61026731925.9213,59174891.0,3.46428057999021,65.02000000000001,1.735,66.007,74.98157757322318,1031.2943698691613,59.174891,61.026731925921304,False,False,27.116939623498574
Tanzania,1970-01-01 00:00:00.000002020,66068737786.0639,60972798.0,3.29029062798325,65.02000000000001,1.792,66.771,82.2361019196766,1083.5772664732215,60.972798,66.0687377860639,False,False,29.318886468089577
Tanzania,1970-01-01 00:00:00.000002021,70655628147.8986,62830412.0,3.69091958802199,65.02000000000001,1.876,66.131,74.98157757322318,1124.545039556618,62.830412,70.65562814789861,False,False,25.34841312902143
Tanzania,1970-01-01 00:00:00.000002022,75749121846.9703,64711821.0,4.35027204269101,65.02000000000001,1.573,66.879,78.2099990844727,1170.560813718568,64.711821,75.74912184697031,False,False,24.494738387628928
Tanzania,1970-01-01 00:00:00.000002023,79030935638.1317,66617606.0,3.79923291384916,65.02000000000001,1.565,66.995,74.98157757322318,1186.3370718865476,66.617606,79.0309356381317,False,False,26.467265656320368
Tanzania,1970-01-01 00:00:00.000002024,79235713444.9777,68560157.0,3.05694676312373,65.02000000000001,1.557,67.212,74.98157757322318,1155.7107934419944,68.560157,79.2357134449777,False,False,30.81820941448302
Tanzania,1970-01-01 00:00:00.000002025,90143496090.4411,70545865.0,3.32697361316105,65.02000000000001,1.572,53.931907692307696,74.98157757322318,1277.7998553202387,70.545865,90.1434960904411,False,False,26.314386531743285
Uganda,1970-01-01 00:00:00.000001960,423145605.043164,7640973.0,5.946570077545658,70.24,3.1274285714285712,45.633,71.3237656509463,55.37849761321811,7.640973,0.423145605043164,False,False,12.88922008646846
Uganda,1970-01-01 00:00:00.000001961,441667334.611947,7862217.0,5.946570077545658,70.24,3.1274285714285712,46.271,71.3237656509463,56.17592780915955,7.862217,0.441667334611947,False,False,12.959530874984186
Uganda,1970-01-01 00:00:00.000001962,449158233.391351,8092231.0,5.946570077545658,70.24,3.1274285714285712,46.821,71.3237656509463,55.5048704604887,8.092231,0.44915823339135097,False,False,13.020143623704637
Uganda,1970-01-01 00:00:00.000001963,516315231.449087,8333663.0,5.946570077545658,70.24,3.1274285714285712,47.378,71.3237656509463,61.95537681918348,8.333663,0.516315231449087,False,False,13.081527807408804
